Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,Conn_01x03_MountingPin,
J2,TO-92_Inline,1,Conn_01x03_Pin,
